kraj;iso;y2013;y1980
Afghanistan;AFG;12.33;18.12
Albania;ALB;61.96;15.28
Algeria;DZA;21.07;10.65
Angola;AGO;36.13;14.41
Antigua and Barbuda;ATG;85.07;40.68
Argentina;ARG;107.24;110.71
Australia;AUS;116.23;110.66
Austria;AUT;90.87;94.76
Bahamas;BHS;104.2;98.71
Bangladesh;BGD;4.11;2.52
Barbados;BRB;68.13;79.04
Belize;BLZ;50.48;38.75
Benin;BEN;25.19;11.23
Bermuda;BMU;96.97;117.86
Bolivia;BOL;66.38;41.29
Botswana;BWA;28.94;14.34
Brazil;BRA;97.58;41
Brunei;BRN;85.99;47.52
Bulgaria;BGR;53.72;60.52
Burkina Faso;BFA;11.72;7.66
Cambodia;KHM;13.21;3.67
Cameroon;CMR;13.35;13.35
Canada;CAN;90.75;97.77
Central African Republic;CAF;29.45;19.37
Chad;TCD;12.01;13.2
Chile;CHL;85.69;31.5
China;CHN;61.82;14.58
China Hong Kong SAR;;153.12;83.15
China Macao SAR;;119.45;81.5
China Taiwan Province of;;77.69;47.52
China mainland;;61.05;13.62
Colombia;COL;50.79;29.39
Congo;COG;29.38;12.34
Costa Rica;CRI;49.99;30.23
Cote d'Ivoire;CIV;15.01;21.46
Cuba;CUB;53.94;33.44
Cyprus;CYP;75.58;49.84
Denmark;DNK;81.87;79.07
Djibouti;DJI;18.35;21.53
Dominica;DMA;51.94;28.54
Dominican Republic;DOM;47.2;24.36
Ecuador;ECU;53.98;20.96
Egypt;EGY;30.47;12.72
El Salvador;SLV;29.04;13.55
Fiji;FJI;39.59;28.02
Finland;FIN;77.53;57.79
France;FRA;86.76;100.87
French Polynesia;PYF;101.1;51.02
Gabon;GAB;70.81;55.09
Gambia;GMB;6.41;10.18
Germany;DEU;85.94;94.96
Ghana;GHA;17.44;10.72
Greece;GRC;76.6;64.88
Grenada;GRD;60.91;33.75
Guatemala;GTM;27.39;10.75
Guinea;GIN;10.39;4.94
Guinea-Bissau;GNB;16.33;13.9
Guyana;GUY;43.79;18.86
Haiti;HTI;17.99;11.16
Honduras;HND;34;13.99
Hungary;HUN;65.04;108.92
Iceland;ISL;93.33;68.38
India;IND;3.69;3.68
Indonesia;IDN;13.55;4.62
Iran;IRN;32.88;20.96
Iraq;IRQ;19.67;17.39
Ireland;IRL;86.69;78.84
Israel;ISR;95.15;51.95
Italy;ITA;84.04;75.52
Jamaica;JAM;61.76;37.8
Japan;JPN;49.45;30.18
Jordan;JOR;44.79;21.3
Kenya;KEN;14.32;17.48
Kiribati;KIR;32.17;23.67
Kuwait;KWT;82.88;59.21
Laos;LAO;21.07;9.44
Lebanon;LBN;39.63;38.91
Lesotho;LSO;24.6;17.93
Liberia;LBR;16.3;12.46
Madagascar;MDG;14.12;23.08
Malawi;MWI;11.25;5.07
Malaysia;MYS;56.25;23.24
Maldives;MDV;32.41;3.86
Mali;MLI;24.75;18.16
Malta;MLT;86.62;62.5
Mauritania;MRT;30.36;33.07
Mauritius;MUS;53.47;15.85
Melanesia;OWID_MNS;37.94;30.64
Mexico;MEX;62.23;36.08
Mongolia;MNG;81.1;112.04
Morocco;MAR;35.02;12.09
Mozambique;MOZ;8.5;5.75
Myanmar;MMR;39.03;7.03
Namibia;NAM;24.97;42.24
Nepal;NPL;12.21;8.86
Netherlands;NLD;89.49;72.65
New Caledonia;NCL;82.37;58.64
New Zealand;NZL;101.4;110.53
Nicaragua;NIC;29.87;18.5
Niger;NER;17.2;23.66
Nigeria;NGA;9.2;10.22
North Korea;PRK;13.98;13.55
Norway;NOR;70.89;52.11
Pakistan;PAK;16.41;8.92
Panama;PAN;66.39;40.31
Paraguay;PRY;53.61;65.51
Peru;PER;22.52;14.38
Philippines;PHL;35.1;16.82
Poland;POL;76.08;76.63
Polynesia;OWID_PYA;101.55;46.17
Portugal;PRT;88.35;44.84
Romania;ROU;49.4;62.51
Rwanda;RWA;8.01;5.08
Saint Kitts and Nevis;KNA;79.07;40.43
Saint Lucia;LCA;99.49;44.29
Saint Vincent and the Grenadines;VCT;95.55;28.44
Samoa;WSM;102.2;41.45
Sao Tome and Principe;STP;16.08;6.33
Saudi Arabia;SAU;63.75;40.4
Senegal;SEN;15.78;11
Sierra Leone;SLE;10.68;5.17
Solomon Islands;SLB;13.81;15.54
South Africa;ZAF;64.92;36.04
South Korea;KOR;63.61;13.17
Spain;ESP;94.04;70.38
Sri Lanka;LKA;6.48;3.53
Suriname;SUR;56.05;40.09
Swaziland;SWZ;25.89;32.54
Sweden;SWE;81.57;63.61
Switzerland;CHE;72.32;85.36
Tanzania;TZA;10.01;9.55
Thailand;THA;29.33;18.36
Togo;TGO;12.13;6.83
Trinidad and Tobago;TTO;76.33;43.8
Tunisia;TUN;30.28;15.94
Turkey;TUR;35.12;15.48
Uganda;UGA;12.13;11.61
United Arab Emirates;ARE;58.7;92
United Kingdom;GBR;81.48;70.64
United States;USA;115.13;108.32
Uruguay;URY;82.29;97.43
Vanuatu;VUT;40.77;40.78
Venezuela;VEN;72.78;46.04
Vietnam;VNM;55.22;9.04
Yemen;YEM;20.42;14.03
Zambia;ZMB;13.04;14.14
Zimbabwe;ZWE;18.24;12.71
