data;woj;typ;testy;newc;newd;totalc;totald;teryt;pop;popk
2020-11-16;dolnoślaskie;T;427333;1784;8;51491;715;t02;2900.2;1505.5
2020-11-16;kujawsko-pomorskie;T;315215;896;3;42524;385;t04;2072.4;1068.
2020-11-16;lubelskie;T;225055;1163;19;37882;615;t06;2108.3;1086.4
2020-11-16;lubuskie;T;62233;577;1;15400;196;t08;1011.6;519.4
2020-11-16;łódzkie;T;384373;1083;8;50799;605;t10;2454.8;1285.1
2020-11-16;małopolskie;T;443680;1295;5;79281;1232;t12;3410.9;1755.4
2020-11-16;mazowieckie;T;1147865;2436;19;88503;1376;t14;5423.2;2828.1
2020-11-16;opolskie;T;55175;557;4;21110;420;t16;982.6;507.5
2020-11-16;podkarpackie;T;105895;842;12;42227;763;t18;2127.2;1085.3
2020-11-16;podlaskie;T;145672;487;5;19128;285;t20;1178.4;604.1
2020-11-16;pomorskie;T;468721;1037;2;40182;525;t22;2343.9;1202.7
2020-11-16;śląskie;T;773957;3322;21;102326;1502;t24;4517.6;2340.3
2020-11-16;świętokrzyskie;T;138369;787;4;22739;388;t26;1234.0;632.3
2020-11-16;warmińsko-mazurskie;T;140115;1040;3;20391;238;t28;1422.7;726.
2020-11-16;wielkopolskie;T;569263;2400;15;75285;1014;t30;3498.7;1796.6
2020-11-16;zachodniopomorskie;T;244326;1110;14;24520;232;t32;1696.2;871.7
