kraj;iso;rok;gdp
Afghanistan;AFG;2013;1848.70002621394
Albania;ALB;2013;10492.8062825121
Algeria;DZA;2013;13253.6154761387
Angola;AGO;2013;6188.0037558835
Antigua and Barbuda;ATG;2013;18823.754452753
Arab World;;2013;15174.1017030436
Argentina;ARG;2013;19482.190295091
Armenia;ARM;2013;7727.92909156213
Australia;AUS;2013;43118.0861274364
Austria;AUT;2013;44301.104028751
Azerbaijan;AZE;2013;16593.1887600482
Bahamas;BHS;2013;28871.3582593754
Bahrain;BHR;2013;42680.2013445965
Bangladesh;BGD;2013;2835.76661976407
Barbados;BRB;2013;16409.917090424
Belarus;BLR;2013;17656.1193383189
Belgium;BEL;2013;40928.136605999
Belize;BLZ;2013;7856.37910906405
Benin;BEN;2013;1934.64910749687
Bermuda;BMU;2013;50669.3147696996
Bhutan;BTN;2013;7070.79246817221
Bolivia;BOL;2013;6090.69557009272
Bosnia and Herzegovina;BIH;2013;10284.7845506136
Botswana;BWA;2013;15568.2733737967
Brazil;BRA;2013;15432.8936308141
Brunei;BRN;2013;79070.2459316149
Bulgaria;BGR;2013;15997.3568038333
Burkina Faso;BFA;2013;1562.30470766267
Burundi;BDI;2013;790.714517573484
Cambodia;KHM;2013;2964.19717041472
Cameroon;CMR;2013;3100.17130995318
Canada;CAN;2013;42339.3788754169
Cape Verde;CPV;2013;5963.90797720203
Caribbean small states;;2013;14768.9184555757
Central African Republic;CAF;2013;593.055954517662
Central Europe and the Baltics;;2013;22744.5951595586
Chad;TCD;2013;2007.07731906164
Chile;CHL;2013;21998.3071454324
China;CHN;2013;11951.2479591608
Colombia;COL;2013;12296.2955351848
Comoros;COM;2013;1437.00490702868
Congo;COG;2013;5317.08629189111
Costa Rica;CRI;2013;14035.2879800483
Cote d'Ivoire;CIV;2013;2879.85021688847
Croatia;HRV;2013;20271.2801257632
Cyprus;CYP;2013;29879.5672096594
Czech Republic;CZE;2013;28379.7461179156
Democratic Republic of Congo;COD;2013;741.618430150658
Denmark;DNK;2013;44564.4521554649
Dominica;DMA;2013;9871.67266472041
Dominican Republic;DOM;2013;11907.2048572126
Early-demographic dividend;;2013;7734.6565263111
East Asia & Pacific;;2013;13897.3214669667
East Asia & Pacific (IDA & IBRD);;2013;10994.4673125621
East Asia & Pacific (excluding high income);;2013;10878.2885692182
